Model,R2,RMSE
Baseline (no NO2_lag),0.030178970012826656,34.665466964830294
XGBoost (with NO2_lag),0.7104325902760379,18.94201153532716
LightGBM (with NO2_lag),0.7125660518071883,18.87210248552183
